id,customer_id,merchant_id,timestamp,amount,currency,payment_method,device_id,ip_address,billing_country,shipping_country,product_id,is_fraud,fraud_pattern
txn_0000000,cust_008491,merchant_001,2024-01-01 05:05:40,68.9,USD,debit_card,dev_003401,192.168.204.243,UK,UK,books,False,legitimate
txn_0000001,cust_001634,merchant_001,2024-01-01 06:44:53,61.85,USD,credit_card,dev_001262,192.168.228.27,DE,DE,clothing,False,legitimate
txn_0000002,cust_001634,merchant_001,2024-01-01 07:00:08,93.7,USD,credit_card,dev_001262,192.168.228.27,DE,DE,home_garden,False,legitimate
txn_0000003,cust_002032,merchant_001,2024-01-01 07:02:06,35.37,USD,debit_card,dev_003776,192.168.219.122,FR,FR,sports,False,legitimate
txn_0000004,cust_001634,merchant_001,2024-01-01 07:12:49,28.53,USD,debit_card,dev_001086,192.168.38.162,DE,DE,beauty,False,legitimate
txn_0000005,cust_001634,merchant_001,2024-01-01 07:19:23,144.77,USD,credit_card,dev_003066,192.168.228.27,DE,DE,jewelry,False,legitimate
txn_0000006,cust_006926,merchant_001,2024-01-01 07:43:58,94.0,USD,debit_card,dev_004431,192.168.215.161,RU,DE,jewelry,False,legitimate
txn_0000007,cust_001634,merchant_001,2024-01-01 07:43:58,79.75,USD,credit_card,dev_001086,192.168.228.27,DE,DE,sports,False,legitimate
txn_0000008,cust_001771,merchant_001,2024-01-01 08:11:16,172.36,USD,debit_card,dev_002990,192.168.244.112,FR,FR,toys,False,legitimate
txn_0000009,cust_009818,merchant_001,2024-01-01 08:14:39,108.23,USD,credit_card,dev_001971,192.168.3.113,CA,CA,electronics,False,legitimate
txn_0000010,cust_001634,merchant_001,2024-01-01 08:23:12,49.2,USD,debit_card,dev_003066,192.168.228.27,DE,DE,books,False,legitimate
txn_0000011,cust_008928,merchant_001,2024-01-01 08:39:13,39.58,USD,digital_wallet,dev_001496,192.168.126.114,US,US,home_garden,False,legitimate
txn_0000012,cust_001634,merchant_001,2024-01-01 08:40:39,14.44,USD,debit_card,dev_001262,192.168.38.162,DE,DE,toys,False,legitimate
txn_0000013,cust_001634,merchant_001,2024-01-01 08:54:45,68.66,USD,credit_card,dev_001262,192.168.228.27,DE,DE,books,False,legitimate
txn_0000014,cust_005572,merchant_001,2024-01-01 09:03:11,476.65,USD,bank_transfer,dev_001909,192.168.250.105,BR,BR,clothing,False,legitimate
txn_0000015,cust_001634,merchant_001,2024-01-01 09:20:36,83.18,USD,credit_card,dev_001086,192.168.38.162,DE,DE,food,False,legitimate
txn_0000016,cust_008168,merchant_001,2024-01-01 09:32:34,51.59,USD,digital_wallet,dev_002228,192.168.205.164,ZA,ZA,automotive,False,legitimate
txn_0000017,cust_001634,merchant_001,2024-01-01 09:39:38,165.44,USD,buy_now_pay_later,dev_001262,192.168.228.27,DE,DE,electronics,False,legitimate
txn_0000018,cust_001082,merchant_001,2024-01-01 09:39:42,16.11,USD,debit_card,dev_004424,192.168.71.80,BR,BR,books,False,legitimate
txn_0000019,cust_001634,merchant_001,2024-01-01 09:41:32,42.05,USD,debit_card,dev_001262,192.168.38.162,DE,DE,home_garden,False,legitimate
txn_0000020,cust_008980,merchant_001,2024-01-01 09:43:59,294.6,USD,credit_card,dev_002784,192.168.110.37,US,US,food,False,legitimate
txn_0000021,cust_001634,merchant_001,2024-01-01 10:02:34,65.59,USD,credit_card,dev_001086,192.168.38.162,DE,DE,sports,False,legitimate
txn_0000022,cust_004278,merchant_001,2024-01-01 10:05:41,765.4,USD,bank_transfer,dev_004942,192.168.231.98,ZA,ZA,sports,False,legitimate
txn_0000023,cust_008168,merchant_001,2024-01-01 10:14:43,27.99,USD,digital_wallet,dev_002289,192.168.205.164,ZA,ZA,sports,False,legitimate
txn_0000024,cust_001339,merchant_001,2024-01-01 10:21:05,72.02,USD,debit_card,dev_003488,192.168.106.164,UK,UK,toys,False,legitimate
txn_0000025,cust_009436,merchant_001,2024-01-01 10:26:41,66.23,USD,debit_card,dev_004062,192.168.170.212,NG,DE,sports,False,legitimate
txn_0000026,cust_001634,merchant_001,2024-01-01 10:37:25,16.62,USD,debit_card,dev_003066,192.168.38.162,DE,DE,jewelry,False,legitimate
txn_0000027,cust_001634,merchant_001,2024-01-01 10:37:59,777.71,USD,bank_transfer,dev_003066,192.168.38.162,DE,DE,electronics,False,legitimate
txn_0000028,cust_003111,merchant_001,2024-01-01 10:43:04,129.3,USD,credit_card,dev_001718,192.168.240.25,CA,CA,automotive,False,legitimate
txn_0000029,cust_006297,merchant_001,2024-01-01 10:44:32,668.25,USD,bank_transfer,dev_002919,192.168.242.194,DE,DE,sports,False,legitimate
txn_0000030,cust_002764,merchant_001,2024-01-01 10:53:32,97.87,USD,bank_transfer,dev_001112,192.168.118.25,US,US,electronics,False,legitimate
txn_0000031,cust_002032,merchant_001,2024-01-01 10:59:21,98.31,USD,credit_card,dev_003776,192.168.219.122,FR,FR,automotive,False,legitimate
txn_0000032,cust_002488,merchant_001,2024-01-01 11:01:08,270.89,USD,bank_transfer,dev_002383,192.168.159.226,US,US,clothing,False,legitimate
